/B<7> (Design_Point=1) X,/B<7> (Design_Point=1) Y,/B<6> (Design_Point=1) X,/B<6> (Design_Point=1) Y,/B<5> (Design_Point=1) X,/B<5> (Design_Point=1) Y,/B<4> (Design_Point=1) X,/B<4> (Design_Point=1) Y,/B<3> (Design_Point=1) X,/B<3> (Design_Point=1) Y,/B<2> (Design_Point=1) X,/B<2> (Design_Point=1) Y,/B<1> (Design_Point=1) X,/B<1> (Design_Point=1) Y,/B<0> (Design_Point=1) X,/B<0> (Design_Point=1) Y,/VOUT (Design_Point=1) X,/VOUT (Design_Point=1) Y
1.001774706347171e-06,1.2,1.001774706347171e-06,1.2,1.001774706347171e-06,1.2,1.001774706347171e-06,1.2,1.001774706347171e-06,1.2,1.001774706347171e-06,1.2,1.001774706347171e-06,1.2,1.001774706347171e-06,0.2703523833944712,1.001774706347171e-06,1.194615287919873
1.00184262419636e-06,1.2,1.00184262419636e-06,1.2,1.00184262419636e-06,1.2,1.00184262419636e-06,1.2,1.00184262419636e-06,1.2,1.00184262419636e-06,1.2,1.00184262419636e-06,1.2,1.00184262419636e-06,0.1888509643678562,1.00184262419636e-06,1.194582127765856
1.00192131209818e-06,1.2,1.00192131209818e-06,1.2,1.00192131209818e-06,1.2,1.00192131209818e-06,1.2,1.00192131209818e-06,1.2,1.00192131209818e-06,1.2,1.00192131209818e-06,1.2,1.00192131209818e-06,0.09442548218388325,1.00192131209818e-06,1.194543981538987
1.002e-06,1.2,1.002e-06,1.2,1.002e-06,1.2,1.002e-06,1.2,1.002e-06,1.2,1.002e-06,1.2,1.002e-06,1.2,1.002e-06,0,1.002e-06,1.194506125557736
1.002089987244934e-06,1.2,1.002089987244934e-06,1.2,1.002089987244934e-06,1.2,1.002089987244934e-06,1.2,1.002089987244934e-06,1.2,1.002089987244934e-06,1.2,1.002089987244934e-06,1.2,1.002089987244934e-06,0,1.002089987244934e-06,1.194463373510236
1.002190049944986e-06,1.2,1.002190049944986e-06,1.2,1.002190049944986e-06,1.2,1.002190049944986e-06,1.2,1.002190049944986e-06,1.2,1.002190049944986e-06,1.2,1.002190049944986e-06,1.2,1.002190049944986e-06,0,1.002190049944986e-06,1.194416064503973
1.002273112453629e-06,1.2,1.002273112453629e-06,1.2,1.002273112453629e-06,1.2,1.002273112453629e-06,1.2,1.002273112453629e-06,1.2,1.002273112453629e-06,1.2,1.002273112453629e-06,1.2,1.002273112453629e-06,0,1.002273112453629e-06,1.194377140617363
1.002439237470915e-06,1.2,1.002439237470915e-06,1.2,1.002439237470915e-06,1.2,1.002439237470915e-06,1.2,1.002439237470915e-06,1.2,1.002439237470915e-06,1.2,1.002439237470915e-06,1.2,1.002439237470915e-06,0,1.002439237470915e-06,1.194300229226577
1.002771487505487e-06,1.2,1.002771487505487e-06,1.2,1.002771487505487e-06,1.2,1.002771487505487e-06,1.2,1.002771487505487e-06,1.2,1.002771487505487e-06,1.2,1.002771487505487e-06,1.2,1.002771487505487e-06,0,1.002771487505487e-06,1.194150061711779
1.003435987574632e-06,1.2,1.003435987574632e-06,1.2,1.003435987574632e-06,1.2,1.003435987574632e-06,1.2,1.003435987574632e-06,1.2,1.003435987574632e-06,1.2,1.003435987574632e-06,1.2,1.003435987574632e-06,0,1.003435987574632e-06,1.193863844445128
